排序,分组,领域,评估项目,操作描述,所需材料,适用年龄,是否必答,评分说明_2_通过,评分说明_1_萌芽,评分说明_0_不通过
106,行为表现,感觉,不正常的听觉敏感性,注意孩子是否展示出异常的听觉敏感，即孩子能不能继续活动而不被外来的声响过分分散注意力，是否对听觉刺激不予理睬。,,,是,孩子的听觉敏感在正常的范刚内,孩子可能象比他幼小的孩子一样，被声音所分散注意力：或者没有反应,孩子对室外的声响或测试者九室内发出的一股声响(例如准备测试材料、玩具收拾等)特别敏感或容易被分散注意力：或什么不适当的反应。孩子也可能对这些声音极端没有反应
107,行为表现,感觉,不正常的质地兴趣,注意孩子如何对只有某种质地的物体作出反应，他是否表现出要摸一摸的过分兴趣，特别是他是如何对能触摸的积木和玩具作出反应的。,,,是,孩子对质地的兴趣保持在正常范围内,触摸摆弄过分，或者避免触摸。但能被测试者所打断(就象年龄较小的孩子—样),孩子对质地有过分或奇特的兴趣。病理学行为可能包括：过多地把物品放在脸上磨擦；连续不断地反复摆斥一些具有他所喜爱的质地的物品等
108,行为表现,感觉,不正常的味觉兴趣,注意孩子是否不适当地品尝或者舔物品。,,,是,孩子不会不适当地品尝物品，把物品放入嘴内或舔一舔物品,象一个比他年幼的孩子，把东西放进嘴里舔一舔，就其年龄来说是过分的行为，,孩子显示出不适当的品尝或舔物品的倾向(例如对测试材料、房间里灼物品．测试看等)
109,行为表现,感觉,不正常的嗅觉兴趣,注意孩子是否不正常地嗅闻物件。,,,是,孩子的嗅觉方面的兴趣在正常范围内(如没出现嗅闻过分的情况),孩子轻度地显示出对嗅闻物品的兴趣，象比他年幼的孩子一样,孩子显示出在嗅闻物品方面的过分兴趣（如长时间地或过分地嗅闻测试材料，房间内的其他物品、他的双手等。）
110,行为表现,感情,不正常的感情,注意孩子整体的感情与情绪反应。要意识到种种不适当的和莫名其妙的极端的感情反应；各种刻板的反应；或者压抑的、无动于衷的反应。当孩子能作出适当反应，但他所作反应程度是极端的（如过度的兴奋或过度的仰制），也要加以注意。,,,是,在实施过程中孩子的感情反应是适当的，而且他能显示出对测试者和对测试料有某种正常的反应和兴趣,孩子的情感反应有点不适当，与其说是古怪，不如说象比他幼小的孩子,在实施过程的大部分时间内，孩子显示出不适当的感情．异常行为可能包括面部表情呆板、没有变化，过度发傻或格格地笑、面部表情无缘无故地变化快、作鬼脸、或者对测试者和对测试材料或情景一般没有反应或兴趣
111,行为表现,游戏及对物的兴趣,进行项目测试时的紊乱行为,当孩子从事模仿，表演或口语项目时，注意孩子的行为是否做到有条理．即他是否知道为完成某项任务应做些什么?他能按适当的顺序执行那些步骤吗?他知道什么时候做完吗?,,,是,一般说来孩子能以有条不紊的方式去试图完成各项任务(就其发展水平而言),孩子的条理化的能力前后并不一致，常常需要测试者的帮助或提示,孩子不能使他们的行为条理化，不知道要他做什么，或什么时候做完，或者按逻辑顺序一步步执行，看得出注意力稍纵即逝、不稳定，或者有异常行为，也就是说跳上：跳下桌子，两手扑动，吵吵闹闹，做鬼脸，旋转身体等
112,行为表现,人际关系,不向测试者寻求帮助,注意孩子是否在测试中或个人需要时(如系鞋带，穿运动衫，去获得想要的东西，上厕所等)，能要求或打手势向测试者寻求帮助，或者就其年龄来说，要求帮助过多。,,,是,孩子能提出要求或以适当的手势请求帮助,孩子即使在需要的时候也不经常或提出要求或用手势来请求帮助,孩子从不会在需要时提出要求，或用手势请求帮助；或者过多地要求帮助
113,行为表现,感情,不适当的恐惧反应,注意孩子是否对恐惧的情景能作出适当的反应。在正常的情况下，在可以预料有恐惧反应的情景中，孩子是否缺乏这样一种反应，孩子的反应是过度的，还是毫无根据的．孩子对与家长分离有什么反应。,,,是,孩子对这种情景的恐惧反应就其年龄和情景来说是适当的。而且容易使他平静下来,就他的年龄和情景来说，孩子比预想的还要害怕,在正常情况下，在预期应当有恐惧反应的场合，孩子都似乎并不害怕，或者过度害怕，以致难以使他平静下来
114,行为表现,感情,怪癖及怪异动作,住结构化与非结构化活动期间注意孩子的躯体动作．,,,是,孩子没有不正常的、重复的举止或动作，虽然也许有轻微的协调方面的问题,孩子偶尔有或者仅有轻微的怪癖及怪异动作,孩子在躯体方面经常有或者有过度的怪癖及怪异动作，如不正常的反复动作(旋转，摇晃)、手指或躯体的怪异姿势，踮起脚尖走路或自伤行为
115,行为表现,人际关系,不知道测试者的存在,注意孩子是否似乎知道测试者的存在。他对测试者的声音能否有反应，有无视线接触，对表扬与微．笑有无反应。,,,是,孩子能对测试者作出反应，即对测试者的声音能作山反应，能看着他，对他的微笑或表扬做出反应等,孩子显示出在某种程度上缺乏社会性反应，包括缺乏视线接触，或者很少主动开始互动行为，通常需要介入才能引起社会性反应,孩子似乎不知道测试者的存在。也就是说，孩子很少对他作出反应，相当孤独，或者忘记测试者的存在。测试者必须总是强行介入才能引起任何反应
116,行为表现,人际关系,与测试者不合作,注意孩子是否对测试者的要求采取合作态度。,,,是,孩子除了在似乎不理解或在不知道如何去做要求他做的事以外，通常都能按测试者的要求去做,孩子持轻度的抗拒态度。合作是不稳定的或者多变的,孩子持极度抗拒态度，或者其合作极度不稳定或多变，几乎不想与测试者合作
117,行为表现,游戏及对物的兴趣,集中注意力的时间不正常,注意就其年龄来说，孩子是否对测试者、测试材料或要求做的任务给予足够的注意．还要观察当测试者要求他注意时，他是否变得灰心丧气。,,,是,孩子集中注意力的时间在正常范围内．要认识到年龄较小的孩子与年龄较大的孩子相比，其注意力集中的时间要短些,象一个比他幼小的孩子一样，他的注意力集中的时间比较有限,孩子的注意力转瞬即逝，他不能与测试者合作；或者不能完成简单的任务：或者当测试者要他注意，或者某项任务要求他在某种程度上集中注意力时，他很容易分散精力或者变得极度灰心丧气
118,行为表现,感情,不能容忍被打断,当你拿走一种他似乎喜欢的测试材料，或从一项测试转到下一项时，注意孩子如何反应。,,,是,孩子能容忍从一项测试转到另一项，而且当拿走他所喜欢的测试材料时，并不特别不高兴,孩子对转移测试项目或是拿走测试材料有相当的困难，但他还能做到去完成下一个项目,孩子不能容忍被打断．即当告诉他把一件喜爱的物品收拾起来或转换另一测试项目时，孩子有一种极端的情感反应．病理学行为可能包括：过度的哭喊、尖叫、两手扑动、做鬼脸、发脾气、撞头等
119,行为表现,语言,不正常的语调及音调变化,注意孩子(两岁以上)的言语模式及语调是否异常．,,,是,孩子的语调在正常范围内，有抑扬顿挫，音量及速度合理,言语的特点是：音调及音高几乎没有变化，音量异常，语速有点慢，有点快或不均匀,孩子言语显著不正常，包括怪异的语调及音调，言语质量呆板机械，以及类似唱歌，发声嘶哑或尖厉
120,行为表现,语言,发出无意义的声音(如婴儿咿哑学声语),注意孩子(超过1岁半)是否反复发出毫无意义或令人难以理解的声音。,,,是,从不发出无意义的声音,孩子偶而发出无意义的声音(年龄在1岁半以—1),经常发出无意义的声音，并且好象是婴儿咿哑学语
121,行为表现,语言,不适当地使用词语,注意孩子如何使用单词及短语，孩子的言语是不是有一定意义．,,,是,孩子使用的词语与情景及年龄相适应，具有功能性，口语交际能力,孩子使用词语的水平有些迟滞．也可包括偶而有不适当的言语,孩子不使用任何词语进行交际，或者他总的来说使用词语不当．病理学行为可包括：在表达需求时词不达意：重复电视广告中的短语或有韵律的句子；或持续使用不适当的词语来描述环境或物品(例如，把所有玩具都叫做“玉米片”)
122,行为表现,语言,使用怪癖的或自创的特异话语,,,,是,孩子能使用正常的、与情景相联系的词语,孩子偶而使用无意义的词及短语。同时孩子也能使用一些具有交际功能的词语,孩子经常说些怪癖的话语(莫明其妙的词或短语)，或者特异的语言，如，生造出来的或隐喻的词语(用“把灯关上”表示“我要自己呆一会儿”)
123,行为表现,语言,即时式反响语言,,,,是,孩子不会去不适当地重复刚才听到的话,在不该重复词语的场合，孩子偶而重复他刚才听到的话,孩子经常无意义地重复他刚才听到的话
124,行为表现,语言,延迟式反响语言,,,,是,除非有必要，孩子不会不适当地重复他在一段时间之前听到过的话,在不该重复词语的场合，孩子会偶而重复他在一段时间之前听到过的词语,孩子经常不适当地重复在一段时间之前听到过的词语
125,行为表现,语言,词或声音的持续反复,,,,是,孩子不会一遍又一远地持续重复词语或声音(没有持续言语症),孩子偶而持续某些词语或声音,孩子经常持续某些词语或声音
126,行为表现,语言,代词倒转,,,,是,孩子能正确使用代词,孩子偶而混淆“你”，“我”、“他／她”。这些代词(年龄在两岁半或两岁半以上时)，或在谈到自己时用自己的名字而不用“我”,孩子经常代词倒转而且似乎不理解。“我”和“你”(年龄在两岁半或两岁半以上时)
127,行为表现,语言,不能自发进行语言交流,孩子交际用语言是否符合功能，是否相互关联?是否不能或不愿提问或回答问题?其交流的内容是否缺少多样化和自发性?有没有自发语言。,,,是,孩子(一岁半以上)能运用多样化的功能语言和自发语言作出反应，交流思想或提出问题,孩子很少进行自发交流或相互交流，仿佛很害羞，但能在受到鼓励的情况下在有限的程度上作出反应,孩子不能运用任何自发的、功能性的、有关联的沟通手段，或以重复的或不恰当的方式反复讲一个主题
128,行为表现,语言,言语不可理解,孩子是否由于发音不清晰、发音方法有问题或语音混淆等引起言语无法理解。,,,是,孩子发音清晰，容易理解，声音不会混淆,孩子由于发音不清晰，发音方法或声音混淆使言语有点令人难以理解(两岁以上),孩子由于发音不清晰，发音方法不当造成声音混淆，言语无法理解
129,行为表现,语言,句法规则混淆,,,,是,孩子能擦正确顺序使用词语(两岁半以上孩子)。就孩子年龄来说，词序有点混淆但在正常范围之内,孩子偶而在短语或句子中混淆词序。混淆的情况有点超出孩子的年龄范围,孩了在短语或句子中经常出现词序错乱现象
