"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分分值_高_标签","评分分值_高_说明","评分分值_中_标签","评分分值_中_说明","评分分值_低_标签","评分分值_低_说明"
"50","语言与沟通","理解事物关系","理解条件关系","测试员对儿童说：“如果你能够座位上坐好，我就把这包糖果给你。”观察儿童的反应。","一包看起来很好吃的糖果","48-60月","是","通过","按照测试员的指令在座位上端正地做好，等待测试员给他糖果","中间反应","走到座位旁边没有坐在座位上，眼睛一直看着测试员手里的糖果","不通过","没有任何反应，或者直接去抢糖果吃"
"51","语言与沟通","理解事物关系","理解因果关系","测试员将下雨的图片给儿童看，并且问儿童：“下雨了，小朋友能不能到草地上玩球？”观察儿童的反应。","下雨的图片","48-60月","是","通过","回答：“不能，太湿了。”或者回答：“不能，会摔倒”","中间反应","看着图片没有回答，甚至自言自语说“下雨了。”","不通过","没有任何反应或拿着图片晃着玩"
"52","语言与沟通","理解事物关系","理解转折关系","测试员将木偶玩具给儿童看，并说：“这个小朋友是东东，他画画好，但是算术不好。”接着测试员问儿童：“东东算术好，是吗？”","一个木偶玩具","60-72月","是","通过","回答：“东东算术不好，他画画好。”或者回答：“他算术不好。”","中间反应","看着图片没有回答；或者拿着图片晃着玩","不通过","没有任何反应"
"53","语言与沟通","语言表达表达要求及回答问题","表达照顾者称呼","测试员指着儿童的照顾者，问儿童：“那是谁？”观察儿童的反应。","","9-12月","是","通过","能够发出表示照顾者的音，如：爸、妈等","中间反应","看着爸爸叫妈妈；或看着妈妈叫爸爸；或者儿童只是用手指，说不出来","不通过","没有任何反应"
"54","语言与沟通","语言表达表达要求及回答问题","表达“你、我、你、他”","让儿童挑选其中一种玩具，测试员A和测试员B各选一种玩具，三个人都将玩具拿在自己的手中，测试员A先做示范，再让儿童主动描述。测试员A与儿童对话，对儿童说：“我有XX，你有XX，他有XX”，示范后等待儿童反应并描述。","玩具汽车、皮球、木偶","24-36月","是","通过","能够向测试员A正确描述“我有XX，你有XX，他有XX。”","中间反应","只能描述三个句子中的一个或两个；或者儿童看着测试员A和测试员B","不通过","没有任何反应"
"55","语言与沟通","语言表达表达要求及回答问题","表达常见物品","测试员分别拿出这些物品一个一个地向儿童展示，并说：“你看看，这是什么呀？”一边说一边在儿童面前晃动该物品，诱发儿童说出来，观察其反应。","常见的物品展示给儿童看，包括：毛巾、杯子、皮球、吃饭用的勺子","18-24月","是","通过","能够说出指定的物品的名称，如杯子说成“杯子、杯杯、杯”，毛巾说成“毛巾、布、手巾”，皮球说成“皮球、球、球球”，勺子说成“勺子、勺”","中间反应","听到指令后，会说出四种物品中一至三个；或者儿童用手指，说不出来","不通过","没有任何反应"
"56","语言与沟通","语言表达表达要求及回答问题","表达身体部位","测试员分别拿出这些图片一个一个地向儿童展示，并说：“你看看，这是什么呀？”一边说一边在儿童面前晃动该图片，诱发儿童说出来，观察其反应。","表示身体部位的图片，包括眼睛、嘴、鼻子、耳朵、手、脚","24-36月","是","通过","能够说出指定的部位的名称，如眼睛说成“眼睛、眼”，鼻子说成“鼻子、鼻”，嘴说成“嘴巴、嘴”，耳朵说成“耳朵、耳”，手说成“手”，脚说成“脚”","中间反应","能够说出六个部位中一至五个；或者用手指，说不出来","不通过","没有任何反应"
"57","语言与沟通","语言表达表达要求及回答问题","表达水果","测试员分别拿出这些图片一个一个地向儿童展示，并说：“你看看，这是什么呀？”一边说一边在儿童面前晃动该图片，诱发儿童说出来，观察其反应。","表示常见水果的图片，包括苹果、梨、桃、西瓜、香蕉","24-36月","是","通过","能够说出指定的图片的名称，如苹果说成“苹果、果、果果”，梨说成“梨、梨子”，桃说成“桃、桃子”，西瓜说成“西瓜、瓜、瓜瓜”，香蕉说成“香蕉、蕉、蕉蕉”","中间反应","能够说出其中一至四种水果的名称；或者儿童用手指，说不出来","不通过","没有任何反应"
"58","语言与沟通","语言表达表达要求及回答问题","表达“不---”","测试员拿出图片给儿童看，并解释说：“你看，图片上有一个小朋友，他妈妈拿着药给他吃，他喜欢吃吗？”或日常生活中观察儿童拒绝吃药的情境。","一张描述一个小朋友拒绝吃药的图片","24-36月","是","通过","能够回答：“不喜欢”、“不吃”","中间反应","有轻微反应，用手指，说不出来","不通过","没有任何反应"
"59","语言与沟通","语言表达表达要求及回答问题","表达“干净、热、冷”","测试员设置情境，问儿童“你现在觉得热吗？（或冷吗？）”、“这个房间干净吗？”","","24-36月","是","通过","能够按照要求使用“热”、“冷”、“干净”等形容词回答","中间反应","能够表达其中一至两个形容词；或者表现出满足或舒服的状态，但是不使用语言表达","不通过","没有任何反应"
"60","语言与沟通","语言表达表达要求及回答问题","表达“大、小”","测试员问儿童：“这是两个玩具狗，哪个大呀？”或者是“哪个小呀？”，等待儿童的回答。如果儿童不回答，可以再重复问一次，观察儿童的反应。","两个颜色和质地相同但却有大小之分的玩具狗","24-36月","是","通过","能够指着大的玩具狗说“这个大”、“它大”，指着小的玩具狗说“这个小”、“它小”","中间反应","按照要求能够说出大的或小的；或能够指出大的或小的，但是不能说出来；或者听到指令后有意识去指","不通过","没有任何反应"
"61","语言与沟通","语言表达表达要求及回答问题","表达“多、少”","测试员问儿童：“你看，这里有两堆糖果，哪堆多？”或“哪堆少？”","两堆数量不同的糖果","24-36月","是","通过","能够指着大堆的糖果说“这堆多”或“这个多”，指着小堆的糖果说“这堆少”或“这个少”","中间反应","按照要求能够说出多的或少的；或能够指出多或少，但是不能说出来","不通过","没有任何反应"
"62","语言与沟通","语言表达表达要求及回答问题","表达“最”","测试员拿着图片，让儿童仔细观察，并说：“你看，这张图片上有三个苹果，哪个最大呀？”","一张图片，上面画着三个大中小的苹果","24-36月","是","通过","指着图片上最大的苹果说：“这个最大”、","中间反应","用手指，说不出来，或者听到指令后乱指图片","不通过","没有任何反应"
"63","语言与沟通","语言表达表达要求及回答问题","表达“长、短”","测试员拿出这两支铅笔向儿童展示，并说：“你看看，这两支铅笔，哪支长？”或“这两支铅笔，哪支短？”一边说一边让儿童仔细观察图片，诱发儿童说出来，观察其反应。","两支粗细、颜色相同，但是长短不同的铅笔","36-48月","是","通过","指着长的那支铅笔，并说出“这支长”、“这个长”、“它长”；指着短的那支铅笔，并说出“这支短”、“这个短”、“它短”","中间反应","能说哪个长或哪个短；或儿童能指出哪个长或哪个短，但是说不出来；或者乱指","不通过","没有任何反应"
"64","语言与沟通","表达“高、矮”","高矮不同的两个木偶","测试员指着图片问儿童：“你看，有两个小朋友，哪个小朋友高？”或“哪个小朋友矮？”，观察儿童的反应，如果儿童不回答，可以重复问一次，观察儿童的反应。","","36-48月","是","通过","指着高的木偶，并说出“他高”；指着矮的木偶，并说出“他矮”或“他不高”","中间反应","能够说出高的或矮的；或能够用手指，但是说不出来；或者听到指令后乱指木偶","不通过","没有任何反应"
"65","语言与沟通","表达“高、矮”","表达“胖、瘦”","测试员指着玩具狗问儿童：“你看，这有两只可爱的小狗，哪只小狗胖？”或“哪只小狗瘦？”，观察儿童的反应，如果儿童不回答，可以重复问一次，观察儿童的反应。","胖瘦不同的玩具狗","36-48月","是","通过","指着胖的小狗，并说出“它胖”；指着瘦的小狗，并说出“它瘦”","中间反应","能够说出胖的或瘦的；或能够用手指，但是说不出来；或者听到指令后乱指","不通过","没有任何反应"
"66","语言与沟通","表达“高、矮”","表达“粗、细”","测试员拿出这两支铅笔向儿童展示，并说：“你看看，这两支铅笔，哪支粗？”或“这两支铅笔，哪支细？”一边说一边让儿童仔细观察图片，诱发儿童说出来，观察其反应。","两支长短、颜色相同，但是粗细不同的铅笔","48-60月","是","通过","指着粗的那支铅笔，并说出“这支粗”、“这个粗”、“它粗”；指着细的那支铅笔，并说出“这支细”、“这个细”","中间反应","能够说出粗的或细的；或能够用手指，但是说不出来；或者听到指令后乱指","不通过","没有任何反应"
"67","语言与沟通","表达“高、矮”","表达“相同”与“不同”","测试员拿出事先准备好的两支相同的铅笔，问儿童：“这两个东西相同吗？” 测试员拿出事先准备好的一支铅笔和一块奶糖，问儿童：“这两个东西相同吗？”","两个同一类物品，如两支相同的铅笔；两个不同类的物品，如一支铅笔和一块奶糖","48-60月","是","通过","看着测试员展示的两支相同的铅笔，儿童说：“相同”或“一样”；看着测试员展示的铅笔和奶糖，儿童说：“不相同”、“不同”、“不一样”","中间反应","能够说出相同的或不相同的；或能够用手指，但是说不出来；或者听到指令后乱指","不通过","没有任何反应"
"68","语言与沟通","说短语","表达数量的短语如：两只狗","测试员先将木偶给儿童看，并说：“你看，一个人”，如果儿童已经明白了测试员的意思，再进行测试。出示玩具狗给儿童看，并对儿童说：“这是------”，等待儿童说出，再出示 “三块糖”，观察儿童的反应。","一个木偶、两只玩具狗、三块糖","36-48月","是","通过","能够说出“两只狗”、“三块糖”","中间反应","能够用手指，但是说不出来；或者听到指令后乱指；或者说出其中一个短语","不通过","没有任何反应"
"69","语言与沟通","说短语","表达颜色的短语如：红气球","测试员拿出红气球给儿童看，并说：“这是红气球”，接着分别拿出绿气球、黄气球给儿童看，并问：“这是什么？”","红黄绿三种颜色的气球","36-48月","是","通过","指着绿气球，并说“绿气球”；指着黄气球，并说“黄气球”","中间反应","能够用手指，但是说不出来；或者听到指令后乱指；或者说出其中一至两个短语","不通过","没有任何反应"
"70","语言与沟通","说句子","表达自己活动的主谓句子如：宝宝睡觉","测试员出示图片，让儿童看，并说“你看，这张图片里面宝宝------”，等待儿童做出反应。","图片 “宝宝睡觉”","24-36月","是","通过","说“宝宝睡觉”","中间反应","用手指图片，但说不出来；或者发出有关的某个音","不通过","没有任何反应"
"71","语言与沟通","说句子","表达他人活动的主谓宾句子如：妈妈抱宝宝","测试员出示图片给儿童看，问儿童：“你看这张图片，妈妈------”，等待儿童做出反应。","图片“妈妈抱宝宝”","36-48月","是","通过","能够根据图片的内容说出“妈妈抱宝宝”","中间反应","听到指令后儿童用手指，但说不出来；或者发出有关的一至两个音","不通过","没有任何反应"
"72","语言与沟通","说句子","表达有时间修饰的句子如：早上妈妈抱宝宝","测试员出示图片，对儿童说：“你看这张图片，是在早上起床发生的事情，请你告诉我，什么时候，妈妈------”，等待儿童做出反应。","图片“妈妈抱宝宝”","48-60月","是","通过","能够根据图片的内容，说出“早上，妈妈抱宝宝”","中间反应","听到指令后儿童用手指，但说不出来；或者发出有关的一至两个音","不通过","没有任何反应"
"73","语言与沟通","主动提问","主动表达允许或请求","测试员设置情境，拿出饼干，问儿童：“想吃饼干吗？”拿出糖果问：“要吃糖果吗？” “想玩玩具车吗？”","一盒饼干、三颗糖果、玩具车","18-24月","是","通过","转身问妈妈“好吗？”、“可以吗？”、“行吗？”","中间反应","有轻微反应，表现出想要的表情，但说不出来，甚至求助于妈妈","不通过","没有任何反应"
"74","语言与沟通","主动提问","主动表达特殊问句如：这是饼干吗？我能吃吗？","测试员设置情境，拿出饼干，吃得津津有味，观察儿童的反应；拿出糖果，吃得津津有味，观察儿童的反应；拿出汽车，玩得非常开心，观察儿童的反应。","一盒饼干、三颗糖果、玩具车","48-60月","是","通过","问测试员：“这饼干好吃吗？（或者糖果好吃吗？或这汽车好玩吗？）我能吃（或玩）吗？”","中间反应","有轻微反应，表现出想要的表情，但说不出来","不通过","没有任何反应"
"75","语言与沟通","主动提问","主动表达原因的问句“为什么”","测试员设置情境，拿出饼干，吃得津津有味，观察儿童的反应；拿出糖果，吃得津津有味，观察儿童的反应；拿出汽车，玩得非常开心，观察儿童的反应。","一盒饼干、三颗糖果、玩具车","60-72月","是","通过","问测试员：“你自己吃饼干，为什么不给我呀？”或者“这饼干在哪里买的呀？”","中间反应","有轻微反应，表现出想要的表情，但说不出来","不通过","没有任何反应"
"76","语言与沟通","复述复述一至两个句子","儿童故事：三个和尚吃水的故事","测试员先讲“三个和尚吃水”的故事，讲完故事，让儿童复述。","","48-60月","是","通过","能够复述故事中的一至两个句子","中间反应","说出一些相关的词语","不通过","没有任何反应"
"77","语言与沟通","复述完整的故事","儿童故事：三个和尚吃水的故事","测试员先讲“三个和尚吃水”的故事，讲完故事，让儿童复述。","","60-72月","是","通过","能够将表示故事线索的一些句子进行复述，而且注重对一些精彩句子的复述","中间反应","只能说出一些词语或一至两个句子","不通过","没有任何反应"
"78","语言与沟通","主动描述","描述正在发生的事情","设计情境，测试员在旁边画画，并唱歌，照顾者提示儿童注意测试员，观察儿童反应。或日常生活中，听儿童描述正在发生的事情。","","24-36月","是","通过","看了看测试员，对照顾者说：“叔叔/阿姨在唱歌”或者“叔叔/阿姨在画画”","中间反应","按照照顾者的提示，儿童有意识去看测试员，或者与测试员一起画画，或者拿并破坏测试员的画画工具","不通过","没有任何反应"
"79","语言与沟通","主动描述","描述已经发生过的事情","设计情境，测试员事先给儿童好吃的糖果，在儿童吃这些糖果时，照顾者故意目不转睛地盯着儿童的眼睛，观察儿童的反应。或日常生活中，听儿童描述正在发生的事情。","","36-48月","是","通过","注意到照顾者并对照顾者说：“叔叔/阿姨给我的”","中间反应","注意到照顾者，边看着照顾者边吃糖果","不通过","没有注意到照顾者在看着自己，因此没有任何反应，而是专心地吃 36-48月 ▲——代表观察或直接评估项目 项目号前面没有任何标注的为直接评估项目"
"1","认知","经验与表征","按照指令交出物件","杯子、鞋子、袜子、匙子、铅笔、梳子等以及与实物相符合（形状、大小、颜色）的图片，一个大的托盘 将所有物件放在盘子中，并将盘子放在儿童能够看见而且可以触及的地方，测试员伸出手向儿童说：“给我一个杯子”。若儿童没有反应或交出错误物件，则向儿童展示该物件的图片，并重复上述语言。重复以上程序测试其余物件。","","12-24月","是","通过","无需图片提示，可交出至少3件物件","中间反应","经图片提示后，可以交出至少3件物品","不通过","经提示后仍不能交出任何物品"
"2","认知","经验与表征","在口头命令下，指出自己的身体部位","在没有动作提示的情况下，要求儿童指出自己的眼睛、鼻子、嘴巴、耳朵、头发。","无","24-36月","是","通过","能指出或触摸至少3处身体部位","中间反应","能指出或触摸1-2处身体部位","不通过","不能指出任何部位"
"3","认知","经验与表征","指出玩具动物的身体部位","测试员手持玩具动物移放到儿童可以接触的范围，要求儿童指出动物的眼睛、鼻子、儿童、嘴巴。","玩具动物（猫或狗）一只","24-36月","是","通过","能指出或触摸至少3处身体部位","中间反应","能指出或触摸1-2处身体部位","不通过","不能指出任何部位"
"4","认知","经验与表征","示范使用物品","测试员将一件物品交给儿童并问：“这个是用来干什么的？你做给我看看”或者说“让我看看你是怎么使用这个东西的”。","杯子、匙子、铅笔、梳子和玩具剪刀","24-36月","是","通过","能使用至少4件物品","中间反应","能使用至少1件物品","不通过","未能使用任何物品"
"5","认知","经验与表征","辨认图片","把图片放在儿童面前，吸引儿童注意，并引导儿童逐一观看。当儿童看完后，让儿童指出“杯子”，“月亮”等。若儿童出现4个错误，可以停止测试。","图片10张","36-48月","是","通过","正确辨认6幅图片","中间反应","正确辨认2幅图片","不通过","正确辨认图片数少于2幅"
"6","认知","经验与表征","指认男孩和女孩","将其中的男女孩图片各一张摆放在儿童面前的桌面上，指着其中一张图片问：“这个是男孩？”，再问另一张：“这个是女孩吗？” 换用其它图片重复测试。","不同姿态、服饰的男女孩图片各3张","36-48月","是","通过","能正确回答","中间反应","允许出现1次错误","不通过","出现2次及以上错误"
"7","认知","经验与表征","说出图片中东西遗漏的部分","从五张测试图片中任意选择一张平放再儿童面前，吸引儿童观看，问：“你看，这只公鸡缺少什么部分？” 儿童作出反应后，换其它图片重复上述测试程序。","测试图片5张（图片所绘图画有部分遗失）","48-60月","是","通过","能正确答对3幅图片","中间反应","能正确答对1幅图片","不通过","不能正确回答"
"8","认知","经验与表征","说出图片名称","翻开图片并指着“狗”的图片，问：“这是什么？”重复以上程序并记录下正确的反应数，当儿童连续出现5次错误时，停止测试。","图片15副（可以有动物（如狗）、或常见物品）","48-60月","是","通过","能正确答对14片","中间反应","能正确答对1幅图片","不通过","不能正确回答"
"9","认知","因果关系简单推理","知道动作引起的直接后果","评估员挤响玩具吸引儿童注意并把玩具放在桌面上，然后对儿童说：“你来玩吧”，观察儿童反应。","软胶小玩具（会发声）一个","7-14月","是","通过","主动拿起玩具尝试令玩具发声（如—轻按）","中间反应","能够尝试按压玩具，虽然不能令玩具发声","不通过","没有反应"
"10","认知","因果关系简单推理","明白物品间的关系","把玩具车放在较远的地方吸引儿童，不让儿童触及车子，但把玩具车的绳子放在儿童可以触及的地方，吸引儿童注意玩具车，观察儿童反应。若儿童没有反应，则提示“你玩啊”。","可用绳子拉动的玩具小车一辆","12-24月","是","通过","利用绳子拉动玩具车","中间反应","经提示后有拉动绳子的动作或意图","不通过","经提示后也没有任何反应"
"11","认知","因果关系简单推理","示意求助","测试员将玩具或食物放在罐子内并旋紧盖子，将罐子交与儿童，指示儿童可自行取出玩具或食物。当儿童无法打开罐子时，测试员可稍作等待，然后沉默地向儿童伸出手，并观察儿童反应。若儿童没有反应，测试员可将手进一步移近，并说“要不要帮忙？”","食物或儿童喜爱的小玩具，放于一盖紧盖的透明塑料罐中","24-36月","是","通过","用语言或明显的动作向测试员求救","中间反应","有向测试员求助的动作意图，但不明显","不通过","无反应"
"12","认知","分类","物品图片分类（功能分类）","将图片混在一起，放在儿童面前，说：“将这些图片分成两类，看看谁应该和谁在一起”。","帽子、衣服、鞋子、袜子、苹果、黄瓜、梨子、白菜等物品的图片","48-60月","是","通过","能够按“吃的东西”和“穿的东西”正确分成两类","中间反应","基本上能够分类，但出现2次错误","不通过","不能正确分类"
"13","认知","分类","完成简单拼图","将拼图打乱放在桌面上，说：“这是一头牛，请你把它拼出来”。一段时间以后，若儿童表现出不明白或有困难，测试员可做示范，然后让儿童再做尝试。","4-5块动物拼图一套（牛拼图）","60-72月","是","通过","能独立完成拼图","中间反应","基本能完成拼图，允许出现1处错误","不通过","出现2次及以上错误"
"14","认知","物品图片分类（概念分类） 3类物品图片各4张— 水果类—苹果、香蕉、梨、西瓜","家具类—桌、椅、床、柜","将图片混放再儿童面前，对儿童说：“请将这些图片分一分，谁应该和谁放在一起？”","交通工具类—自行车、汽车、轮船、飞机","60-72月","是","通过","能准确将图片分成3类","中间反应","能至少将某一类图片分类成功","不通过","不能完成任务"
"15","认知","配对","实物配对","杯子、鞋子、袜子、匙子、铅笔、梳子等以及与实物相符合（形状、大小、颜色）的图片， 将一张图片放在桌子上，向儿童出示与该图片相符合的物件，示范将物件放在图片上，然后取走。 另放2张新的图片在桌子上，将一件与其中一张图片向对应的物件交给儿童，指示儿童自己进行配对，若儿童出现错误，应及时进行纠正。 取走已完成配对的物件和图片，随即另外放上一张新图片以保持桌面上有2张图片。继续以上测试程序以完成所有测试。","","18-24月","是","通过","能正确配对5次。","中间反应","能正确配对3次","不通过","不能完成配对"
"16","认知","配对","两种质地物品配对","测试员将两种纽扣各一个分别放在两个容器中，然后示范摆放两种质地的纽扣各一块。随意将剩余的纽扣逐一交给儿童，让他放进容器里。改正儿童最初4次所犯的错误。","相同的塑料纽扣和金属纽扣各6个，透明的塑料容器2个","24-36月","是","通过","正确配对6次","中间反应","正确配对4次","不通过","正确配对少于4次，或拒绝完成"
"17","认知","排序","指出第一、第二和最尾的位置","在儿童面前将五辆玩具车列成一条直线（横或竖皆可）， 车头朝向一致，问儿童：“哪辆车排在第一位？”然后问：“哪辆车排在第二位？”最后问：“哪辆车排在最后？”","五辆颜色不同的玩具车","48-60月","是","通过","能正确指出","中间反应","基本能正确指出位置，或在辅助下能指出1~2次","不通过","没有指的意识"
"18","认知","依长短排列小木棍","长度不一、直径相同的小木棍5根","将小木棍全部放在桌面上，对儿童说：“这里有些小棍，按长短顺序把它们排列起来”。","","48-60月","是","通过","能正确将5根木棍按长短排列","中间反应","不能正确地将5根木棍按长短排列，或有排列的意识","不通过","无排列意识"
"19","认知","概念形成 时间概念 说出一周包含哪些天","无","","问儿童：“一个星期有几天？”“一个星期包含哪些天？”","60-72月","是","通过","回答7天并能说出从星期一到星期天（顺序不计）","中间反应","能正确回答7天，但不能完全说出","不通过","回答错误"
"20","认知","概念形成 时间概念 说出一周包含哪些天","能分辨图片中的时间（早上、晚上）","将图片卡放在桌面上，吸引儿童观看，问：“这两张图片哪个是早上，哪个是晚上？” 若儿童没有反应，则指着其中一张，问：“这张是早上，对吗？”，然后在换问另外一张。","早上、晚上图片两张","60-72月","是","通过","能正确辨认早上和晚上","中间反应","能辨认早上和晚上，回答出现1次错误","不通过","回答出现2次及以上错误"
"21","认知","说出四季名称无","问：“你知道一年中有几个季节？”“你能按顺序把这些季节说出来吗？”","","","60-72月","是","通过","知道一年四季，并能按顺序说出“春夏秋冬”","中间反应","能回答四个季节，但不能完全说出","不通过","回答错误"
"22","认知","说出四季名称无","回答简单钟面问题","将玩具钟的时间摆到8点整，问儿童：“现在是几点啊？”（依次考察8点、10点、2点、5点）","玩具钟一只","60-72月","是","通过","答案正确","中间反应","答案基本正确，回答出现一次错误","不通过","出现2次及以上错误"
"23","认知","空间概念","掀开盖着自己脸的毛巾","与儿童玩躲猫猫游戏，先将手帕盖着儿童的脸，然后掀开，再将手帕盖着评估员自己的脸，然后掀开；再盖着儿童，保持安静，观察儿童反应。","清洁白手帕一条","6-12月","是","通过","5秒内掀开盖着自己脸的手帕","中间反应","5秒内没能掀开手帕，但有伸手掀的动作","不通过","没有任何反应"
"24","认知","空间概念","模仿将物件放进容器","在儿童面前示范将积木放入盒内，同时说：“我放进去”，后将另一块积木放在儿童手中，并指一指塑料盒，说：“你放进去”。","2块约3厘米×3厘米的积木，开口塑料盒一个","10-16月","是","通过","按指示完成","中间反应","有动作反应，但没有最终完成","不通过","没有任何反应"
"25","认知","空间概念","找寻隐藏的物体","在儿童面前将小物件放在杯子内或者毛巾下。以语言或手势示意儿童取出物件。 若儿童未能取出，可掀起毛巾或拿起杯子，使部分物件显露出来，然后再做测试。","杯子或毛巾，以及儿童喜爱的任何小物件","10-16月","是","通过","无需提示，能顺利找到物件","中间反应","虽然没有找到物件，但是有寻找的意图","不通过","没有反应"
"26","认知","空间概念","伸手抓握视线内的物体","将球放在距离儿童眼睛前约20厘米的地方，鼓励他伸手去取。","红色、直径约4厘米的球一个","6-18月","是","通过","取得或触摸到球","中间反应","有伸手去触摸的意图","不通过","没有反应"
"27","认知","空间概念","从容器中取出物品","将2块积木放在盒子中，然后放在距离儿童能够面前约8厘米的地方，示范将一块积木从盒子中取出，并说“我取出来了，你也取出来”，指一指另外一块积木并张开自己的手掌。","2块约3厘米×3厘米的积木，开口塑料盒一个","12-24月","是","通过","按指示完成","中间反应","有动作反应，但没有最终完成","不通过","没有任何反应"
"28","认知","空间概念","知道物品的固有摆放方式","将小车翻到，车轮朝上，放于儿童面前的桌面上，说：“你把小车摆放好”；收起小车，将玩具椅倒转放在儿童前面，说：“把椅子摆放好”。","玩具小车1辆、有椅背玩具椅一张","12-24月","是","通过","将2两件物件翻转至正确位置","中间反应","将1两件物件翻转至正确位置","不通过","不能将物件翻转至正确位置"
"29","认知","空间概念","按要求放置物品（上面、下面）","把玩具苹果放在儿童手中，告诉他：“放到桌子上面”，待儿童反应后，再将玩具苹果放到他手中，说：“放到桌子下面”。换上梨子，重复上述指令。 （次序：上、下、下、上）","玩具苹果、玩具梨子各一","24-36月","是","通过","能按照指令完成任务","中间反应","能按照指令完成一次任务","不通过","不能完成指令"
"30","认知","空间概念","按要求摆放物品（里、外）","把碗放在桌面上，匙羹放在儿童手中，说：“摆到碗里面”，待儿童反应后，将匙羹拿出重新交给儿童，说：“放到碗外面”。换上塑料叉，重复上述测试程序。 （测试顺序：里、外、外、里）","碗、匙羹、塑料叉各一个","36-48月","是","通过","按指示正确完成","中间反应","允许出现1次错误","不通过","出现2次及以上错误"
"31","认知","空间概念","按要求取物品（前面、后面）","在儿童目睹下，将2辆玩具车分别放置于儿童前后，对儿童说：“把你前面的小汽车给我”，每个位置测试2次。 （测试顺序：前、后、后、前）","相同的小物件2件（如2辆一样的玩具汽车）","48-60月","是","通过","按指示完成","中间反应","能够按指示完成，允许出现1次错误","不通过","出现2次及以上错误"
"32","认知","颜色概念","配对红、绿颜色（外形相同）","把红绿积木各一块分别放在桌面上，测试员先示范配对红绿积木各一，一边说： “同样颜色的放在一起”。（把示范配对的积木保留原位）然后把其余的6块积木逐一交给儿童，并说：“和同样颜色的放在一起”。不论儿童的反应正确与否，先取走他放置的积木后再给他另外一块。","红绿色积木各5块（外形、大小一致）","24-36月","是","通过","配对所有同颜色的积木","中间反应","能够进行配对，但出现过1次错误","不通过","不能配对"
"33","认知","颜色概念","配对黄、蓝颜色（外形、大小不一）","把黄蓝积木各一块分别放在桌面上，测试员先示范配对黄蓝积木各一，一边说：“同样颜色的放在一起”。 （把示范配对的积木保留原位）然后把其余的6块积木逐一交给儿童，并说：“和同样颜色的放在一起”。不论儿童的反应正确与否，先取走他放置的积木后再给他另外一块。","黄、蓝色积木各5块（外形、大小不一致）","24-36月","是","通过","配对所有同颜色的积木","中间反应","能够进行配对，但出现过1次错误","不通过","不能配对"
"34","认知","颜色概念","基本颜色分类","把所有积木堆放在桌面上，要求儿童自行分类：“将同样颜色的放在一起。”（如果儿童不明白，可以用红色木块进行示范）","红、黄、绿、蓝积木块各3块（共12块）","36-48月","是","通过","正确把相同颜色的木块放在一起","中间反应","能至少正确地将一类颜色的积木分类","不通过","不能正确分类"
"35","认知","颜色概念","说出颜色名称","测试员将全部5块积木放在儿童面前，然后指着其中的一块积木问：“这是什么颜色？” 重复此程序测试余下的颜色。","5块颜色积木（红、黄、绿、蓝、白）","36-48月","是","通过","能正确说出5种颜色","中间反应","能正确说出3种颜色","不通过","正确说出的颜色种类低于3种"
"36","认知","颜色概念","说出常见物体的颜色","询问儿童日常物件的颜色，例如：“橘子是什么颜色的？”重复以上步骤以测试其它物件。","无","48-60月","是","通过","答出物件的常见颜色","中间反应","基本能答出物件的常见颜色，允许错误2次","不通过","不能正确回答"
"37","认知","形状概念","配对三种基本形状","将其中一套形状板按□○△顺序由左至右放在儿童前面，然后拿出另外一套逐一交给儿童说：“你把它放到一样形状的板子上面”，儿童每次配对不论正确与否，请先拿走儿童放下的形状板，再给儿童另外一块。 （测试顺序：圆形、正方形、三角形）","正方形、圆形、三角形形状板2套","24-36月","是","通过","把形状板放在正确的位置上","中间反应","能够至少把某一类形状板放在正确的位置上","不通过","不能完成任何配对"
"38","认知","形状概念","基本形状分类","把所有积木堆放在桌面上，要求儿童自行分类：“将同样形状的放在一起。”（如果儿童不明白，可以用方形木块进行示范）","方形、圆形、三角形积木块各4块（共12块）","36-48月","是","通过","正确把相同形状的木块放在一起","中间反应","能至少正确地将一类形状的积木分类","不通过","不能正确分类"
"39","认知","形状概念","说出形状名称","测试员将全部拼板堆放在儿童面前，然后指着其中的一块问：“这是什么形状？”重复此程序测试余下的形状。","形状拼板（圆形、三角形、正方形）","48-60月","是","通过","正确说出三种拼板的形状","中间反应","能正确说出2种形状","不通过","正确说出的形状种类低于2种"
"40","认知","形状概念","按要求自行画出常见形状","要求儿童说：“你画个长方形”。重复以上程序测试其它形状。 （测试顺序：长方形、圆形、菱形、梯形、星形）","纸、笔","60-72月","是","通过","正确画出形状","中间反应","能够画出至少2种形状","不通过","不能完成任务"
"41","认知","数前概念","依要求指出大小","将两张三角形图片并排放在儿童面前的桌面上，问：“这两个三角形大小是不同的，哪个更大？”，示意儿童指出。依同样程序测试圆形和正方形的图片。","印有大小不等的三角形、圆形和正方形的图片各2张","36-48月","是","通过","能正确指出三类图形的大小","中间反应","能正确指出至少一类图形的大小（如圆形）","不通过","不能完成任务"
