"排序","分组","领域","评估项目","操作描述","所需材料","适用年龄","是否必答","评分说明_1_达标","评分说明_0.5_部分达标","评分说明_0_未达标"
"83","Level 2 (18-30月)","Social(社交)","Social 8","在没有大人的辅助和强化下，能持续地与同伴进行社会游戏达 3 分钟（如：一起合作摆好游戏玩具，或者玩水）（TO：30 分钟）","","18-30月","是","在没有大人的辅助和强化下，能持续地与同伴进行社会游戏达 3 分钟（如：一起合作摆好游戏玩具，或者玩水）（TO：30 分钟）","(8-a) 自发地用挥手或做语言行为问候同伴 1 次; (8-b) 自发地模仿同伴的用物品的动作 2 次（如：纸风车）; (8-c) 在大人的辅助下对同伴的要求作出回应达 2 次（如：给他那个汽车）; (8-d) 自发地仿说同伴的词语达 2 次","以上行为均未观察到"
"84","Level 2 (18-30月)","Social(社交)","Social 9","自发地回应来自同伴的要求（如：把我拉进小车，我要那个火车）达５次（Ｅ）","","18-30月","是","自发地回应来自同伴的要求（如：把我拉进小车，我要那个火车）达５次（Ｅ）","(9-a) 自发地复制同伴的玩具或其他物品的造型 1 次（如：乐高积木）; (9-b) 对来自同伴的关于物品的要求作出恰当的反应 2 次（如：给我那个卡车）; (9-c) 对来自同伴的一个活动的要求作出恰当的反应 2 次（如：推我）（Ｅ）; (9-d) 对同伴请求停止一个行为的要求做出恰当的反应１次（如：停止推我）（Ｅ）; (9-e) 自发要求大人的帮助１次（Ｏ）; (9-f) 在大人的辅助下为了同伴的好处而命名物品２次（如：那是你的车）（Ｏ）","以上行为均未观察到"
"85","Level 2 (18-30月)","Social(社交)","Social 10","能够自发地要求同伴一起参与到各种活动和社会互动中去达２次（如：大家来玩吧，让我们挖个小洞）（TO：60 分钟）","","18-30月","是","能够自发地要求同伴一起参与到各种活动和社会互动中去达２次（如：大家来玩吧，让我们挖个小洞）（TO：60 分钟）","(10-a) 自发地要求同伴执行指令２次（如：把自行车放这）（Ｏ）; (10-b) 自发地要求他人关注他正在关注的事物（如：看这里）（Ｏ）; (10-c) 自发地要求他人关注他的行为２次（如：看我）（Ｏ）; (10-d) 要求同伴的关注２次（如：嘿，强尼！）（Ｏ）; (10-e) 自发地模仿同伴骑三轮车、玩具汽车或其他用来骑的玩具２次（Ｏ）","以上行为均未观察到"
"86","Level 3 (30-48月)","Social(社交)","Social 11","自发地与一个同伴合作从而达到一个具体的目标 5 次（如：一个孩子拿着一个小桶而另一个孩子往里面倒水）","","30-48月","是","自发地与一个同伴合作从而达到一个具体的目标 5 次（如：一个孩子拿着一个小桶而另一个孩子往里面倒水）","(11-a) 在大人的辅助下参与合作活动 2 次（如：玩降落伞）; (11-b) 恰当地要求同伴停止一个不喜欢的行为 2 次; (11-c) 等待强化物的机会而没有不良行为 2 次; (11-d) 接受同伴的邀请参与一个社会性游戏活动 2 次; (11-e) 用一个特殊疑问句向同伴提要求 2 次（如：铁铲在哪里？你叫什么名字？）","以上行为均未观察到"
"87","Level 3 (30-48月)","Social(社交)","Social 12","自发地使用疑问句向同伴提要求达 5 次（如：你到哪里去？那是什么？你现在扮演谁呢？）（TO：60 分钟）","","30-48月","是","自发地使用疑问句向同伴提要求达 5 次（如：你到哪里去？那是什么？你现在扮演谁呢？）（TO：60 分钟）","(12-a) 在一个假装游戏活动中自发地模仿同伴的行为 2 次; (12-b) 自发地用“哪里来”要求得到关于不在同伴的信息 2 次; (12-c) 自发地用“什么”来要求得到与一个同伴行为相关的信息 2 次; (12-d) 自发地用“谁”来要求得到关于一个不认识人的信息 2 次; (12-e) 有一个“最好的朋友”（即，会与一个特定的儿童经常在一起玩）; (12-f) 与同伴至少有 3 个回合的语言交流","以上行为均未观察到"
"88","Level 3 (30-48月)","Social(社交)","Social 13","用对话形式回答来自同伴的 5 个不同的问题或陈述（如：用语言来回答“你想玩什么？”）（TO：60 分钟）","","30-48月","是","用对话形式回答来自同伴的 5 个不同的问题或陈述（如：用语言来回答“你想玩什么？”）（TO：60 分钟）","(13-a) 对一个大人或同伴自发地使用请和谢谢你达 2 次; (13-b) 表现出任何与一个同伴的语言交流 2 次; (13-c) 在社会游戏活动中执行同伴提出的要求达 2 次; (13-d) 在社会游戏活动中给同伴要求达 2 次; (13-e) 自发地给同伴提供强化物（分享）达 2 次","以上行为均未观察到"
"89","Level 3 (30-48月)","Social(社交)","Social 14","在不需要大人辅助的情况下能够与同伴进行想象性的社会游戏活动达 5 分钟（如：打扮穿衣、模仿电视人物而动作、玩家家）","","30-48月","是","在不需要大人辅助的情况下能够与同伴进行想象性的社会游戏活动达 5 分钟（如：打扮穿衣、模仿电视人物而动作、玩家家）","(14-a) 参与一由同伴组织的社会游戏活动（如：红灯/绿灯）2 次; (14-b) 自发地提要求以得到一个新的或不熟悉的孩子的名字 1 次; (14-c) 在没有辅助的情况下与同伴轮流和分享强化物 2 次; (14-d) 对同伴的笑话或幽默能大笑或微笑 2 次; (14-e) 对同伴的兴趣提问 1 次","以上行为均未观察到"
"90","Level 3 (30-48月)","Social(社交)","Social 15","就每个主题能够与同伴进行 4 个回合的语言交流且共达 5 个主题（如：孩子就如何在沙箱里挖小溪而来回地对话）","","30-48月","是","就每个主题能够与同伴进行 4 个回合的语言交流且共达 5 个主题（如：孩子就如何在沙箱里挖小溪而来回地对话）","(15-a) 与同伴进行至少 3 个回合的语言交流 2 次; (15-b) 在一个场合下与两个或更多的同伴进行语言交流 2 次; (15-c) 在一个同伴拿走强化物时表现出恰当的应对行为 2 次; (15-d) 能够注意同伴讲故事达 10 秒，2 次; (15-e) 至少用 2 个命名叙述一个同伴的活动，2 次; (15-f) 当同伴受伤时自发地给予安慰 2 次; (15-g) 就强化物与同伴商谈 2 次","以上行为均未观察到"
"91","Level 1 (0-18月)","Imitation(模仿)","Imitation 1","在“这样做”（如：拍手，举起双臂）的辅助下模仿 2 个粗大动作","","0-18月","是","在“这样做”（如：拍手，举起双臂）的辅助下模仿 2 个粗大动作","(1-a) 模仿怪脸动作 3 次（如：噘嘴、张嘴）; (1-b) 按照指令模仿他人的 1 个大动作（即，当要求时会模仿）","以上行为均未观察到"
"92","Level 1 (0-18月)","Imitation(模仿)","Imitation 2","在“这样做”的辅助下模仿 4 个粗大动作","","0-18月","是","在“这样做”的辅助下模仿 4 个粗大动作","(2-a) 模仿 2 个使用物品的动作（如：使用玩具锤子敲击，或滚球）; (2-b) 自发地模仿 2 个不同的有趣的活动（如：躲猫猫、炒蛋糕）","以上行为均未观察到"
"93","Level 1 (0-18月)","Imitation(模仿)","Imitation 3","模仿 8 个粗大动作，其中 2 个涉及物体（如：摇晃沙球、敲击木棒）","","0-18月","是","模仿 8 个粗大动作，其中 2 个涉及物体（如：摇晃沙球、敲击木棒）","(3-a) 能模仿 2 个精细动作（如：晃动手指、打开和握紧拳头）; (3-b) 能自发模仿他人的 2 个粗大动作（如：举起手臂）; (3-c) 能模仿左右摇摆身体; (3-d) 对 2 个其他的人泛化已学会的模仿行为（如：对 2 个新的大人拍手）","以上行为均未观察到"
"94","Level 1 (0-18月)","Imitation(模仿)","Imitation 4","在 5 种情况下，自发地模仿他人的动作行为","","0-18月","是","在 5 种情况下，自发地模仿他人的动作行为","(4-a) 模仿用手指人或物品; (4-b) 模仿将物品从一只手转到另一只手; (4-c) 能模仿 5 个会产生结果的动作（如：按弹出式玩具的按钮）; (4-d) 能模仿 2 个头部动作（如：点头是和不是）","以上行为均未观察到"
"95","Level 1 (0-18月)","Imitation(模仿)","Imitation 5","模仿 20 个任何类型的动作（如：精细动作、粗大动作、物体模仿）","","0-18月","是","模仿 20 个任何类型的动作（如：精细动作、粗大动作、物体模仿）","(5-a) 能模仿 5 个不同的精细动作（如：用食指戳黏土、钳形抓取）; (5-b) 在辅助下模仿其他孩子的粗大动作 2 次（如：跑步）; (5-c) 在 2 个场合自发地模仿他人的动作（如：填满容器）; (5-d) 在 3 个新人面前表现出 10 个模仿行为的泛化","以上行为均未观察到"
"96","Level 2 (18-30月)","Imitation(模仿)","Imitation 6","能够模仿 10 个动作，而每个动作都要求从一个组合中选择一个特殊的物件（如：从一个包含有喇叭与铃铛的组合中选择一个鼓锤并模仿大人敲鼓）","","18-30月","是","能够模仿 10 个动作，而每个动作都要求从一个组合中选择一个特殊的物件（如：从一个包含有喇叭与铃铛的组合中选择一个鼓锤并模仿大人敲鼓）","(6-a) 模仿吹气 2 次（如：泡泡、蜡烛、气球）; (6-b) 模仿 5 个常见动作（如：耸耸肩膀、竖起大拇指、手指靠近嘴唇）; (6-c) 模仿翻一页书; (6-d) 从 2 个一组的组合中选择特定的物品模仿 5 个动作（如：从娃娃和小狗中选择小狗并模仿抱小狗）; (6-e) 模仿拆开 5 个不同的物品部件（如：乐高积木、组装积木、容器的盖子）","以上行为均未观察到"
"97","Level 2 (18-30月)","Imitation(模仿)","Imitation 7","在“这样做”的辅助下模仿 20 个不同的精细动作（如：摆动手指、拧、握拳、做蝴蝶）","","18-30月","是","在“这样做”的辅助下模仿 20 个不同的精细动作（如：摆动手指、拧、握拳、做蝴蝶）","(7-a) 在自然环境中模仿 3 个游戏行为（如：把一辆车推下斜坡）; (7-b) 能模仿 5 个 2 步行为（如：摸摸头再摸摸肩）; (7-c) 自发地模仿一个从电视或视频里观察到的行为（如：跳舞、跳跃）; (7-d) 模仿 5 个表情（如：亲吻、张开嘴、闭眼、皱鼻子）; (7-e) 在没有训练的 24 小时后仍能维持最近学会的模仿行为; (7-f) 在一次训练时就能正确地模仿一个新的行为; (7-g) 模仿 5 个手指游戏的例子（如：用两根手指假装走路、手指跳舞）","以上行为均未观察到"
"98","Level 2 (18-30月)","Imitation(模仿)","Imitation 8","在“这样做”的辅助下，模仿 10 个不同的有三步顺序的动作（拍拍手、跳一下、摸脚趾；拿起娃娃，把它放进摇篮里，摇摇篮）","","18-30月","是","在“这样做”的辅助下，模仿 10 个不同的有三步顺序的动作（拍拍手、跳一下、摸脚趾；拿起娃娃，把它放进摇篮里，摇摇篮）","(8-a) 在 10 秒钟的流利性测试中模仿 5 个动作; (8-b) 在 2 个场合模仿画一个圆; (8-c) 模仿 5 个假装游戏活动（如：一个怪兽、倒茶、射击蜘蛛网）; (8-d) 自发地模仿 5 个美工活动的精细动作（如：剪、粘贴、画画）; (8-e) 通过从模仿到听者的控制转换学会 5 个新的听者技能（如：首先别人示范怎么玩、接着告诉怎么玩、孩子学会投掷玩具钓鱼竿）; (8-f) 在日常活动的 2 个场合里模仿其他的儿童（如：排队、拉小车）; (8-g) 重复一个先前看到的有趣的行为（延迟性模仿）（如：喷水）","以上行为均未观察到"
"99","Level 2 (18-30月)","Imitation(模仿)","Imitation 9","能够在自然环境中自发地模仿 5 个功能性的技能（如：用调羹吃东西、穿衣服、脱鞋）","","18-30月","是","能够在自然环境中自发地模仿 5 个功能性的技能（如：用调羹吃东西、穿衣服、脱鞋）","(9-a) 在 2 个场合里模仿同伴所示范的社会戏剧性游戏活动; (9-b) 在集体活动中自发地模仿 5 个行为（如：当其他儿童坐时坐下）; (9-c) 模仿 10 个两步骤的活动（如：假装倒茶和喝茶）; (9-d) 模仿同一个行为的快速和慢速，共 5 个行为（如：快快地抬手和慢慢地抬手）","以上行为均未观察到"
"100","Level 2 (18-30月)","Imitation(模仿)","Imitation 10","在大人使用或不使用实物示范任何新的动作后，能够模仿（或试图近似地模仿）这种动作（这也是所谓的“泛化的模仿能力”）","","18-30月","是","在大人使用或不使用实物示范任何新的动作后，能够模仿（或试图近似地模仿）这种动作（这也是所谓的“泛化的模仿能力”）","(10-a) 模仿搭建物品或玩玩具建筑套组（如：乐高积木、火车组、Lincoln logs）; (10-b) 模仿多步骤的功能性自我服务技能的 5 个顺序（如：刷牙、洗脸、穿鞋子）; (10-c) 模仿日常生活技能的 5 个功能性活动（如：摆餐具、扫地）; (10-d) 在假扮游戏中表现出对大人行为的延迟性模仿（如：开车、打字）; (10-e) 按指令模仿 50 个不同的动作行为","以上行为均未观察到"
"101","Level 1 (0-18月)","Echoic(仿说)","Echoic 1","在 EESA 分测试中至少得 2 分","","0-18月","是","在 EESA 分测试中至少得 2 分","在 EESA 分测试中得 1 分","以上行为均未观察到"
"102","Level 1 (0-18月)","Echoic(仿说)","Echoic 2","在 EESA 分测试中至少得 5 分","","0-18月","是","在 EESA 分测试中至少得 5 分","在 EESA 分测试中得 3 分","以上行为均未观察到"
"103","Level 1 (0-18月)","Echoic(仿说)","Echoic 3","在 EESA 分测试中至少得 10 分","","0-18月","是","在 EESA 分测试中至少得 10 分","在 EESA 分测试中得 7 分","以上行为均未观察到"
"104","Level 1 (0-18月)","Echoic(仿说)","Echoic 4","在 EESA 分测试中至少得 15 分","","0-18月","是","在 EESA 分测试中至少得 15 分","在 EESA 分测试中得 12 分","以上行为均未观察到"
"105","Level 1 (0-18月)","Echoic(仿说)","Echoic 5","在 EESA 分测试中至少得 25 分（从第 1 组中至少得 10 分）","","0-18月","是","在 EESA 分测试中至少得 25 分（第一组中得到 20 分）","在 EESA 分测试中得 20 分（第一组中得到 15 分）","以上行为均未观察到"
"106","Level 2 (18-30月)","Echoic(仿说)","Echoic 6","在 EESA 分测试中至少得 50 分（从第 2 组中至少得 20 分）","","18-30月","是","在 EESA 分测试中至少得 50 分（从第 2 组至少得 20 分）","在 EESA 分测试中得 40 分（从第 2 组至少得 15 分）","以上行为均未观察到"
"107","Level 2 (18-30月)","Echoic(仿说)","Echoic 7","在 EESA 分测试中至少得 60 分","","18-30月","是","在 EESA 分测试中至少得 60 分","在 EESA 分测试中得 55 分","以上行为均未观察到"
"108","Level 2 (18-30月)","Echoic(仿说)","Echoic 8","在 EESA 分测试中至少得 70 分","","18-30月","是","在 EESA 分测试中至少得 70 分","在 EESA 分测试中得 65 分","以上行为均未观察到"
"109","Level 2 (18-30月)","Echoic(仿说)","Echoic 9","在 EESA 分测试中至少得 80 分","","18-30月","是","在 EESA 分测试中至少得 80 分","在 EESA 分测试中得 75 分","以上行为均未观察到"
"110","Level 2 (18-30月)","Echoic(仿说)","Echoic 10","在 EESA 分测试中至少得 90 分（从第 4 和 5 组中至少得 20 分）","","18-30月","是","在 EESA 分测试中至少得 90 分（从第 4 和 5 组中至少得 20 分）","在 EESA 分测试中得 85 分（从第 4 和 5 组中至少得 10 分）","以上行为均未观察到"
"111","Level 1 (0-18月)","Vocal(发音)","Vocal 1","平均每个小时 5 次自发性地发出声音（TO:60min）","","0-18月","是","平均每个小时 5 次自发性地发出声音","平均每个小时 2 次自发性地发出声音","以上行为均未观察到"
"112","Level 1 (0-18月)","Vocal(发音)","Vocal 2","自发性地发出 5 种不同的声音，平均每个小时共达 10 个声音（TO:60min）","","0-18月","是","自发性地发出 5 种不同的声音，平均每个小时共达 10 个声音","自发性地发出 3 种不同的声音","以上行为均未观察到"
"113","Level 1 (0-18月)","Vocal(发音)","Vocal 3","自发性地用多变化的语调发出 10 种不同的声音，平均每个小时共达 25 个声音（TO:60min）","","0-18月","是","自发性地用多变化的语调发出 10 种不同的声音，平均每个小时共达 25 个声音","自发性地发出 5 种不同的声音","以上行为均未观察到"
"114","Level 1 (0-18月)","Vocal(发音)","Vocal 4","自发性地发出 5 个不同的近似的完整词语（TO:60min）","","0-18月","是","自发性地发出 5 个不同的近似的完整词语","自发性地发出 2 个不同的近似的完整词语","以上行为均未观察到"
"115","Level 1 (0-18月)","Vocal(发音)","Vocal 5","自发性地以适当的语调和节奏发出 15 个完整的单词或短语（TO:60min）","","0-18月","是","自发性地以适当的语调和节奏发出 15 个完整的单词或短语","自发性地以适当的语调和节奏发出 8 个完整的单词或短语","以上行为均未观察到"
"116","Level 2 (18-30月)","LRFFC(听者功能)","LRFFC 6","根据对象所发出的不同声音，能够从一组 3 张图片中正确选择 5 种动物或物品（如：喵喵地叫……、嘟嘟地叫……）","","18-30月","是","根据对象所发出的不同声音，能够从一组 3 张图片中正确选择 5 种动物或物品（如：喵喵地叫……、嘟嘟地叫……）","部分达到里程碑描述的标准","以上行为均未观察到"
"117","Level 2 (18-30月)","LRFFC(听者功能)","LRFFC 7","根据每次展示的 5 之组合中的一个食品或饮料（其他还有 4 个非食物或非饮料的物件），并在“你吃的东西……”和“你喝的东西……”的语言填空指令下，能够选择 5 个不同的食物或饮料","","18-30月","是","根据每次展示的 5 之组合中的一个食品或饮料（其他还有 4 个非食物或非饮料的物件），并在“你吃的东西……”和“你喝的东西……”的语言填空指令下，能够选择 5 个不同的食物或饮料","(7-a) 能从 5 个一组的组合中选择物品，共 5 个不同的填空句（如：你睡在……）; (7-b) 能从 5 个一组的组合中选择物品，共 5 首不同的与选择物品相应的填空歌（如：有轮子的……）; (7-c) 能将 10 个已会的 LRFFC 反应泛化到不同的音调、音量、韵律等方面","以上行为均未观察到"
"118","Level 2 (18-30月)","LRFFC(听者功能)","LRFFC 8","在 25 个不同的关于功能特性类别之听者行为的口述条件下（如“你可以坐在上面的……”），能够从 8 个物品的组合中选择一件正确的物件完成填空","","18-30月","是","在 25 个不同的关于功能特性类别之听者行为的口述条件下（如“你可以坐在上面的……”），能够从 8 个物品的组合中选择一件正确的物件完成填空","(8-a) 能就 5 个不同的口语连接词，从 6 个一组的组合中选择物品（如：鞋子和……）; (8-b) 能就 10 个功能性填充的陈述，从 6 个一组的组合中选择物品（如：你画画用……）; (8-c) 当口语连接词的顺序颠倒时，能对 5 个已会的 LRFFC 作出正确的反应（如：鞋子和……与袜子和……）; (8-d) 能将 10 个已会的 LRFFC 反应泛化到 2 个新的人那里去; (8-e) 能将 10 个已会的 LRFFC 反应用于自然的环境（如：去拿可以用来画画的东西）","以上行为均未观察到"
"119","Level 2 (18-30月)","LRFFC(听者功能)","LRFFC 9","在分别听到 25 个不同的与功能特性类别听者反应有关的含有“什么”、“哪个”或“谁”的动词及名称问题时（如：你乘坐什么？什么在叫？谁会蹦跳？），能够从 10 个物品的组合中（或从一本书中）选择正确的物件","","18-30月","是","在分别听到 25 个不同的与功能特性类别听者反应有关的含有“什么”、“哪个”或“谁”的动词及名称问题时（如：你乘坐什么？什么在叫？谁会蹦跳？），能够从 10 个物品的组合中（或从一本书中）选择正确的物件","(9-a) 能就 10 个类别的填充句子，从 8 个一组的组合中选出一个物品（如：有一种动物是……）; (9-b) 能就 10 个特性的填充句子，从 8 个一组的组合中选出一个物品（如：你找找轮子在……）; (9-c) 能就 10 个不同的关于什么的句子，从 8 个一组的组合中选出一个物品（如：你吃什么？）; (9-d) 能就 10 个不同的关于哪一个的 LRFFC 句子，从 8 个一组的组合中选出一个物品（如：哪一个会飞？）; (9-e) 能就 10 个不同的关于谁的 LRFFC 句子，从 8 个一组的组合中选出一个物品（如：谁去救火？）; (9-f) 不需要训练就能将 10  个已会的 LRFFC 反应泛化到新的连接短语上去（如：嗨！你有没有看见一个……）; (9-g) 能在不到 1 分钟内根据 10 个一组的组合而发出 10 个已会的 LRFFC 反应（流利性）","以上行为均未观察到"
"120","Level 2 (18-30月)","LRFFC(听者功能)","LRFFC 10","能够在 50%的与功能特性类别之听者反应有关的训练回合中自发地命名目标之物（如：在听到语言指令“找一个动物”并看到一个包含狗的图画的组合时，孩子能说狗）","","18-30月","是","能够在 50%的与功能特性类别之听者反应有关的训练回合中自发地命名目标之物（如：在听到语言指令“找一个动物”并看到一个包含狗的图画的组合时，孩子能说狗）","(10-a) 能对 25 个物品中的每一物品用 3 个例子表现出 LRFFC 组合的泛化（如：当被问到哪个是动物时，孩子能够选择牛，而在下一个回合时则又选择马，如此等等。）; (10-b) 能对 25 个物品中的每个物品以 3 个语言变化来表现出 LRFFC 语言的泛化（如：你坐在什么上？什么有轮子？你爸爸开的是什么？）; (10-c) 能就 10 个不同的 LRFFC 哪里的问题从 10 个一组的组合中选择物品（如：牛奶在哪里？）; (10-d) 能从 10 个一组的组合中就 10 个不同类别中的每一类选择 3 个成员（如：找一些衣服出来）; (10-e) 在得到 LRFFC 中任何一类的一个任务时，能从一本书上或自然环境中选择 50 个项目; (10-f) 未经训练就能泛化到 25 个新的双成分的 LRFFC 任务（如：你看到红色的水果吗？）; (10-g) 自发地做出 5 个 LRFFC 反应（如：在听到地上有脏东西后，去拿扫帚）","以上行为均未观察到"
"121","Level 3 (30-48月)","LRFFC(听者功能)","LRFFC 11","能够从一个含有 3 个相似刺激（如：相似的颜色、形状、或类别，但它们都是错误的选择）的 10 件物品中选择正确的目标，共完成 25 个不同的特殊疑问句和 LRFFC 任务","","30-48月","是","能够从一个含有 3 个相似刺激（如：相似的颜色、形状、或类别，但它们都是错误的选择）的 10 件物品中选择正确的目标，共完成 25 个不同的特殊疑问句和 LRFFC 任务","(11-a) 在 10 个一组的组合中选择同一类别中的 2 个物品（如：找到两个身体部位），共 25 个类别; (11-b) 对给予的任何类型的 LRFFC 任务从一本书中选择 50 个物品; (11-c) 根据任何类型的 LRFFC 任务，从自然环境或功能性活动中（如：摆餐桌）选择 50 个物品; (11-d) 根据测试或从已知反应的累计清单表明，能表现出 200 个不同的 LRFFC 反应; (11-e) 根据一个顺序里的下一步而选择一张图片（如：首先你打开浴缸的水龙头，接着你要……）共 10 个顺序; (11-f) 根据一般的时间问题，在 10 个一组的组合中选择一张图片（如：当问到，你什么时候上床？孩子选择一张夜晚的图片）共 5 次","以上行为均未观察到"
"122","Level 3 (30-48月)","LRFFC(听者功能)","LRFFC 12","根据 2 个语言成分而从书上选择目标项目，这些语言成分可以是特性（如：颜色），功能（如：用于画画的）或类别（如：衣服），总共能够选择 25 项功能特性类别任务（如：你看到一个棕色的动物吗？你能找出有纽扣的衣服吗？）","","30-48月","是","根据 2 个语言成分而从书上选择目标项目，这些语言成分可以是特性（如：颜色），功能（如：用于画画的）或类别（如：衣服），总共能够选择 25 项功能特性类别任务（如：你看到一个棕色的动物吗？你能找出有纽扣的衣服吗？）","(12-a) 根据一个颜色和类别（如：一个黄色的动物）在 10 个一组的组合中选择一个物品，共 25 件物品; (12-b) 根据一个形状和类别（如：一个圆形的食物）在 10 个一组的组合中选择一个物品，共 25 件物品; (12-c) 根据所给的一个功能（如：在上面涂色的）和类别（如：美工用品）在 10 个一组的组合中选择一个物品，共 25 个 LRFFC 任务（如：从美工橱柜里找一些可以在上面涂色的）; (12-d) 根据所给的一个特性（如：轮子、翅膀）和一个类别（如：动物、交通工具）在 10 个一组的组合中选择一个物品，共 25 个 LRFFC 任务（如：有轮子的交通工具在哪里？有翅膀的交通工具在哪里？）; (12-e) 根据所给的任何形容词（但不是颜色和形状）和功能（如：它是热的和你可以吃的……意大利面）在 10个一组的组合中选择一个物品，共 25 个 LRFFC 任务; (12-f) 根据所给的任何形容词（但不是颜色和形状）和特性（如：它是软的和有耳朵……兔子）在 10 个一组的组合中选择一个物品，共 25 个 LRFFC 任务","以上行为均未观察到"
"123","Level 3 (30-48月)","LRFFC(听者功能)","LRFFC 13","根据 3 个语言成分（如：动词、形容词、介词、代词）从书上的一页中或从自然环境中选择目标项目，总共能够选择 25 项以特殊疑问句为形式的功能特性类别任务（如：哪一种水果长在树上？）","","30-48月","是","根据 3 个语言成分（如：动词、形容词、介词、代词）从书上的一页中或从自然环境中选择目标项目，总共能够选择 25 项以特殊疑问句为形式的功能特性类别任务（如：哪一种水果长在树上？）","(13-a) 在读了一小段文章后（10 个以上的单词）根据给予的一个 LRFFC 问题（如：谁把房子吹倒了？）从书中选择一个物品; (13-b) 根据所给的一个介词和任何 LRFFC 问题（如：什么在屋顶上？）在 10 个一组的组合中选择一个物品，共25 件物品; (13-c) 根据所给的一个代词和任何 LRFFC 问题（如：哪一个玩具是他的？）在 10 个一组的组合中选择一个物品，共 25 件物品; (13-d) 根据所给的一个副词和任何 LRFFC 问题（如：哪一个动物跑得快？）在 10 个一组的组合中选择一个物品，共 25 件物品; (13-e) 在问到他们做什么时，从书中选择 10 个社区服务人员（如：当你生病时谁帮你？）; (13-f) 根据 2 个不同的类别或功能，从 10 个一组的组合中选择 2 个不同的物品（如：你能找一个水果和一块肉吗？）共 25 组; (13-g) 根据来自同一地点的 2 个物品，从 10 个一组的组合中选择一个地点（如：你买肉和面包……到商店去）共 10 个地点; (13-h) 在得到一个 LRFFC 问题时，从包含有 3 个相似刺激的自然环境中选择一个物品，共 25 个任务（如：拿可以扫地的东西、找一找可以把这个粘起来的东西）","以上行为均未观察到"
"124","Level 3 (30-48月)","LRFFC(听者功能)","LRFFC 14","根据来自一个主题的 4 个不同而又顺序的功能特性类别问题（牛住在哪里？牛吃什么？谁为牛挤奶？）而从书中或自然环境中选择正确的目标物品，总共能围绕 25 主题选择物品","","30-48月","是","根据来自一个主题的 4 个不同而又顺序的功能特性类别问题（牛住在哪里？牛吃什么？谁为牛挤奶？）而从书中或自然环境中选择正确的目标物品，总共能围绕 25 主题选择物品","(14-a) 当得到指令（如：找到所有的服装）时在 10 个一组的组合中选择这个类别中的所有物品，共 25 个类别中的各 3 个物品; (14-b) 根据何时的问题（如：你什么时候需要毛巾？）在一本书中选择一个物品，共 10 个物品; (14-c) 根据如何的问题（如：你如何去学校？）在一本书中选择一个物品，共 10 个物品; (14-d) 根据给予的一个动词加上一个介词（如：用……吃、在……吃、在……上写、用……写），在 10 个一组的组合中选择一个物品，共 25 个动词-介词组合; (14-e) 当被要求找出在 5 个一组的组合中那个不同东西（如：4 把勺子和 1 把叉子）时，选择一个物品，共 25件物品; (14-f) 当被问到图片中缺了什么？（如：汽车没有轮子、飞机没有翅膀）时，能从 10 个一组的组合中选择一个物品，共 25 个物品","以上行为均未观察到"
"125","Level 3 (30-48月)","LRFFC(听者功能)","LRFFC 15","通过测试或从已知技能清单上确定，孩子能表现出 1000 个不同的关于功能特性类别的反应","","30-48月","是","通过测试或从已知技能清单上确定，孩子能表现出 1000 个不同的关于功能特性类别的反应","(15-a) 在 10 个一组的组合中选择与往事有关的一个物品（如：你昨天去哪里了？），共 5 个事件; (15-b) 选择与未来事件有关的一个物品（如：明天要发生什么？），共 5 个事件; (15-c) 在一个 LRFFC 格式中当被问到“哪一个不能……？”时，从 10 个一组的组合中选择物品，共 10 件物品（如：哪一个不能飞？）; (15-d) 在一个 LRFFC 格式中当被问到“哪一个不是……？”时，能从 10 个一组的组合中选择一个物品（如：哪一个不是乐器？），共 25 个功能、特性、或类别; (15-e) 根据 4 个语言成分（如：动词、形容词、介词、代词）从一本书中一页或在自然环境中选择一个物品，共25 个 LRFFC 任务（如：小女孩睡在谁的床上？）","以上行为均未观察到"
"126","Level 2 (18-30月)","Intraverbal(对话)","Intraverbal 6","完成 10 个任何形式的不同填空短语（如：歌词填空、社会游戏机娱乐填空、动物或物品的声音）","","18-30月","是","完成 10 个任何形式的不同填空短语（如：歌词填空、社会游戏机娱乐填空、动物或物品的声音）","(6-a) 提供 2 种动物或物品发出的声音（如：小狗说……，喇叭的声音是……）; (6-b) 当给出动物发出的声音时，说出 2 种动物的名字（如：喵喵叫的是……）; (6-c) 填空完成 5 首不同的歌（如：轮子在……，一闪一闪……）; (6-d) 填空完成 2 句不同的包含有趣活动的话（如：老鹰抓……，预备……）","以上行为均未观察到"
"127","Level 2 (18-30月)","Intraverbal(对话)","Intraverbal 7","当别人问“你叫什么名字？”时，孩子能够说出自己的名字","","18-30月","是","当别人问“你叫什么名字？”时，孩子能够说出自己的名字","(7-a) 填空完成 5 个不同的根据语境的填空（如：他在他的床上、你睡在你的……）; (7-b) 当句子秩序转换时能正确地对 5 个根据语境的填空做出正确的反应（如：在你的床上你要……）; (7-c) 能完成 5 个不同的不根据语境的填空短语（如：你洗你的……）; (7-d) 对不同的大人和环境泛化 10 个已知的对话反应","以上行为均未观察到"
